scenario_id,asset,attack_type,targeted_property,impact_rating,feasibility_score,feasibility_bucket
T112,component,exploit_isolated_execution_environment_vulnerability,confidentiality,severe,1,low
T113,data,capture_sms_message,authenticity,severe,1,low
T114,component,input_capture,authenticity,severe,1,low
T115,component,input_prompt,authenticity,severe,1,low
T116,channel,network_sniffing,confidentiality,moderate,1,low
T117,component,ecu_credential_dumping,authenticity,severe,1,low
T118,component,unsecured_credentials,authenticity,severe,1,low
T119,component,uri_hijacking,authenticity,severe,1,low
T120,component,discovery,confidentiality,moderate,0,low
T121,component,file_and_directory_discovery,confidentiality,moderate,1,low
T122,component,location_tracking,confidentiality,moderate,1,low
T123,component,network_service_scanning,confidentiality,moderate,1,low
T124,component,process_discovery,confidentiality,moderate,1,low
T125,component,software_discovery,confidentiality,moderate,1,low
T126,component,system_information_discovery,confidentiality,moderate,1,low
T127,component,system_network_configuration_discovery,confidentiality,moderate,1,low
T128,component,system_network_connections_discovery,confidentiality,moderate,1,low
T129,component,lateral_movement,authenticity,severe,1,low
T130,component,abuse_standard_diagnostic_protocol_for_lateral_movement,authenticity,severe,1,low
T131,component,bridge_vehicle_networks,authenticity,severe,2,medium
T132,component,exploit_ecu_for_lateral_movement,authenticity,severe,1,low
T133,component,remote_services,authenticity,severe,1,low
T134,component,reprogram_ecu_for_lateral_movement,authenticity,severe,2,medium
T135,component,compromise_cryptographic_security,confidentiality,severe,1,low
T136,component,collection,confidentiality,moderate,0,low
T137,component,capture_sms_message,confidentiality,moderate,0,low
T138,component,input_capture,confidentiality,moderate,1,low
T139,channel,network_sniffing,confidentiality,moderate,1,low
T140,component,location_tracking,confidentiality,moderate,1,low
T141,component,abuse_standard_diagnostic_protocol_for_collection,confidentiality,moderate,0,low
T142,component,capture_camera_or_audio,confidentiality,moderate,1,low
T143,component,data_from_local_system,confidentiality,moderate,1,low
T144,component,network_information_discovery,confidentiality,moderate,0,low
T145,component,screen_capture,confidentiality,moderate,1,low
T146,component,command_and_control,authenticity,severe,1,low
T147,component,"aftermarket,_customer,_or_dealer_equipment",confidentiality,severe,1,low
T148,data,cellular_communication,authenticity,severe,1,low
T149,data,internet_communication,authenticity,severe,1,low
T150,data,receive_only_communication,authenticity,severe,1,low
T151,component,short_range_wireless_communication,authenticity,severe,1,low
T152,component,standard_cryptographic_protocol,authenticity,severe,1,low
T153,component,exfiltration,confidentiality,moderate,1,low
T154,component,"aftermarket,_customer,_or_dealer_equipment",confidentiality,severe,1,low
T155,data,cellular_communication,authenticity,severe,1,low
T156,data,internet_communication,authenticity,severe,1,low
T157,component,short_range_wireless_communication,authenticity,severe,1,low
T158,component,standard_cryptographic_protocol,authenticity,severe,1,low
T159,component,removable_media,authenticity,severe,1,low
T160,component,physical_access,authenticity,severe,1,low
T161,component,affect_vehicle_function,availability,severe,0,low
T162,component,adversarial_machine_learning,integrity,severe,1,low
T163,component,analog_sensor_attacks,integrity,severe,1,low
T164,component,abuse_standard_diagnostic_protocol_for_affecting_vehicle_function,availability,severe,0,low
T165,component,can_bus_denial_of_service,availability,moderate,0,low
T166,component,denial_of_service_on_vehicle_function,availability,moderate,0,low
T167,component,local_function,availability,severe,1,low
T168,data,modify_bus_message,availability,severe,1,low
T169,data,unintended_vehicle_network_message,availability,severe,0,low
